SITE_TYPE,SITE_NUMBER,SITE_ID,FENCED,DOMINANT_WILLOW_TYPE,ECOSYSTEM_TYPE,PREDOMINANT_HERB_SPECIES_1,PREDOMINANT_HERB_SPECIES_2,BEAVER_PRESENCE,UTM_E_NAD83,UTM_N_NAD83,GPS_ACCURACY_M,BURNED,BURN_YEAR,COMMENTS
WC,37,2013-07-16T00:00:00Z,N,short_young,Wet_Meadow,Bromus_inermis,Carex_sp.,absence,NA,NA,NA,Y,2012,All_pins_require_epoxy
WC,38,2013-06-17T00:00:00Z,N,No_Willow,Wet_Meadow,Phleum_balticus,NA,NA,NA,NA,NA,Y,2012,All_pins_require_epoxy
WC,39,2013-07-16T00:00:00Z,N,Intermediate,Riparian,Bromus_inermis,NA,absence,NA,NA,NA,N,NA,NA
WC,40,2013-06-25T00:00:00Z,N,NA,Wet_Meadow,Poaceae_sp.,NA,NA,448851,4469346,8.1,N,NA,NA
WC,41,2013-06-25T00:00:00Z,N,Intermediate,Riparian,Carex_aquatilis,Bromus_inermis,NA,449198,4468958,7,N,NA,E_pin_&_accompanying_rebar_missing
WC,42,2013-08-13T00:00:00Z,N,Intermediate,Wet_Meadow,Thermopsis_soldago,Chamerion_cirsium,absence,449604,4468711,5,N,NA,Plot_is_a_tad_north_of_UTMs
WC,43,2013-06-27T00:00:00Z,N,Tall,Wet_Meadow,Bromus_inermis,NA,absence,449473,4468791,6,N,NA,NA
WC,44,2013-06-27T00:00:00Z,N,short_young,Wet_Meadow,Juncus_balticus,NA,absence,448913,4469158,8,N,NA,NA
WC,45,2013-08-06T00:00:00Z,N,Intermediate,Riparian,Poaceae_sp.,NA,absence,NA,NA,NA,N,NA,NA
WC,46,2013-06-26T00:00:00Z,N,Tall,Marsh,Calamagrostis_canadensis,Carex_sp.,absence,447048,4472273,12,N,NA,NA
WC,47,2013-08-09T00:00:00Z,N,Intermediate,Wet_Meadow,Calamagrostis_canadensis,NA,absence,NA,NA,NA,N,NA,"Bird_nest_(6/27/2013)_North_pin_is_missing_cap,_short_piece_of_flagged_rebar_is_in_place._All_other_pins_OK._Captured_N_&_S_pin_UTMs_in_trimble"
WC,48,2013-06-26T00:00:00Z,N,short_old,Riparian,Poaceae_sp.,NA,NA,447440,4472272,8.8000000000000007,N,NA,"W_pin:_rebar_in_place;_no_cap._S_pin:_no_rebar;_no_cap_(flagged),_this_pin_is_undercut_on_river_and_will_probably_fall_in_this_year._Site_is_adjacent_to_river_but_dry."
WC,49,2013-06-25T00:00:00Z,N,Intermediate,Marsh,Carex_sp.,NA,absence,449271,4468992,6.4,N,NA,Plot_corners_&_center_UTMs_collected_on_Trimble_Juno
WC,50,2013-06-25T00:00:00Z,N,short_young,Marsh,Poaceae_sp.,Carex_sp.,absence,449252,4468993,9,N,NA,Plot_corners_&_center_UTMs_collected_on_Trimble_Juno
WC,51,2013-06-25T00:00:00Z,N,No_Willow,Dry_Meadow,Juncus_balticus,Poa_pratense,absence,449848,4468691,7,N,NA,NA
WC,52,2013-07-10T00:00:00Z,N,No_Willow,Wet_Meadow,Phleum_pratense,Fragaria_virginiana,absence,NA,NA,NA,Y,2012,"Only_one_willow,_the_rest_are_burnt_out._MANY_aspen_saplings"
WC,53,2013-08-08T00:00:00Z,N,short_old,Wet_Meadow,Carex_aquatilus,Carex_sp.,absence,NA,NA,NA,Y,2012,Additional_Herbaceous_Species:_Calamagrostis_Canadensis
WC,54,2013-08-08T00:00:00Z,N,No_Willow,Wet_Meadow,Carex_sp.,Calamogrostis_canadensis,absence,NA,NA,NA,Y,2012,100%_burn
WC,55,2013-08-08T00:00:00Z,N,short_young,Wet_Meadow,Phleum_pratense,NA,absence,NA,NA,NA,Y,2012,Burned_completely
WC,56,2013-08-06T00:00:00Z,N,short_young,Wet_Meadow,Calamagrostis_canadensis,Phleum_Pratense,absence,NA,NA,NA,Y,2012,100%_burned
WC,57,2013-07-16T00:00:00Z,N,short_old,Wet_Meadow,Calamagrostis_canadensis,Phleum_Pratense,NA,NA,NA,NA,Y,2012,Additional_Herbaceous_Species:_Juncus_balticus
WC,58,2013-07-30T00:00:00Z,N,NA,Wet_Meadow,Calamagrostis_canadensis,NA,absence,NA,NA,NA,N,NA,"*Needs_to_be_revisited_w/Trimble_for_UTMs,_Needs_to_be_revisted_with_5/8_inch_rebar_or_1/2_caps."
WC,59,2013-07-30T00:00:00Z,N,No_Willow,Wet_Meadow,Poa_Pratense,Phleum_Pratense,absence,NA,NA,NA,N,NA,Come_back_with_thick_rebarb_or_samller_caps._No_willow_in_macroplot_but_1_sabe_within_20_cm_of_plot.
WC,60,2013-07-31T00:00:00Z,N,Tall,Wet_Meadow,Bromus_inermis,NA,absence,NA,NA,NA,N,NA,Need_to_return_with_1/2_rebar.
WC,61,2013-07-31T00:00:00Z,N,short_old,Wet_Meadow,Bromus_inermis,NA,absence,NA,NA,NA,N,NA,Need_to_return_with_1/2_rebar.
WC,62,2013-08-15T00:00:00Z,N,Tall,Riparian,NA,NA,absence,NA,NA,NA,N,NA,plot_within_5_m_of_trail
WC,63,2013-08-02T00:00:00Z,N,short_old,Riparian,Calamagrostis_canadensis,NA,absence,NA,NA,NA,N,NA,NA
WC,64,2013-08-14T00:00:00Z,N,short_young,Wet_Meadow,Carex_sp.,NA,absence,NA,NA,NA,N,NA,NA
WC,65,2014-08-14T00:00:00Z,N,Intermediate,Wet_Meadow,Phleum_pratense,Con_parsnip,absence,NA,NA,NA,N,NA,NA
WC,66,2014-08-14T00:00:00Z,N,Intermediate,Wet_Meadow,Phleum_pratense,Calamagrostis_canadensis,absence,NA,NA,NA,N,NA,"EST._2013,_Collected_180_pts._At_each_corner_trimble_SB,_20_m_from_center_UTMs__for_""Option_2""_"
WC,67,2014-08-14T00:00:00Z,N,short_young,Wet_Meadow,Juncus_aquatilus,Poaceae_sp.,absence,NA,NA,NA,N,NA,"EST._2013,_Collected_180_pts._At_each_corner_trimble_SB"
WC,68,2013-08-15T00:00:00Z,N,short_young,Riparian,Pleum_pratense,Calamogrostis_canadensis,absence,NA,NA,NA,N,NA,est._2013_on_S_side_of_river
WC,69,2013-08-16T00:00:00Z,N,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,"Approx_20m_SW_""option_19""_on_south_side_of_river."
WC,70,2013-08-14T00:00:00Z,N,Tall,Riparian,Bromus_inermus,N/A,absence,450727,4466952,NA,N,NA,est._2013
WC,71,2013-08-15T00:00:00Z,N,short_old,Riparian,Juncus_baltica,NA,absence,NA,NA,NA,N,NA,15m_from_parking_lot
WC,72,2013-08-16T00:00:00Z,N,Tall,Riparian,Calamagrostis_canadensis,NA,absence,NA,NA,NA,N,NA,NA
WC,73,2013-08-16T00:00:00Z,N,Intermediate,Dry_Meadow,Phleum_pratense,NA,absence,445412,4473310,NA,N,NA,NA
WC,74,2013-08-20T00:00:00Z,N,short_old,Wet_Meadow,Phleum_pratense,Poa_pratense,absence,NA,NA,NA,N,NA,NA
WC,75,2013-08-20T00:00:00Z,N,Intermediate,Riparian,NA,NA,absence,NA,NA,NA,N,NA,NA
WC,76,2013-08-30T00:00:00Z,N,short_young,Wet_Meadow,Phleum_pratense,NA,absence,NA,NA,NA,Y,2012,"*Need_to_revisit_for_Trimble_UTMs,_Burned_site"
WC,77,2013-08-30T00:00:00Z,N,short_young,Wet_Meadow,Phleum_pratense,NA,absence,NA,NA,NA,Y,2012,"10m_S_of_appox._44735,_4467547,_Burned,_tricky_willow_ID"
WC,78,2013-08-30T00:00:00Z,N,NA,NA,NA,Cirsium_arvense,absence,NA,NA,NA,Y,2012,"EST._2013,_Burned,_Thistle_sprayed_2013,_willow_also_sprayed_in_S_&_E_microplots._Elk_bugling._"
WC,79,2013-09-05T00:00:00Z,N,short_young,Wet_Meadow,Phleum_pratense,N/A,absence,NA,NA,NA,Y,2012,NA
WC,80,2013-09-05T00:00:00Z,N,short_young,Wet_Meadow,Calamagrostis_canadensis,Cirsium_arvense,absence,NA,NA,NA,Y,2012,Should_remain_'unfenced'_when_the_2014_fence_is_built.
WC,81,2013-09-05T00:00:00Z,N,short_young,Wet_Meadow,Phleum_pratense,Thermopsis,absence,NA,NA,NA,Y,2012,"EST._2013,_10m_SE_of_""Option_1"""
WC,82,2013-09-05T00:00:00Z,N,short_young,Wet_Meadow,Phleum_pratense,N/A,absence,NA,NA,NA,Y,2012,"EST._2013,_20m_S_of_""Option_4"""
WC,83,2013-09-11T00:00:00Z,N,short_young,Wet_Meadow,Phleum_pratense,NA,absence,NA,NA,NA,Y,2012,NA
WC,84,2013-10-23T00:00:00Z,N,short_old,Dry_Meadow,Thistle_(sprayed_2013),NA,absence,NA,NA,17',Y,2012,"EST._2013,_unfenced_BURNED"
WC,85,2013-10-24T00:00:00Z,N,short_old,Wet_Meadow,NA,NA,absence,NA,NA,12,Y,2012,"EST._2013,_unfenced_BURNED"
WC,86,2013-10-25T00:00:00Z,N,short_old,Riparian,NA,NA,absence,NA,NA,NA,Y,2012,"EST._2013,_fenced_BURNED"
WNC,1,2013-07-23T00:00:00Z,N,Intermediate,Marsh,Poacea(?),NA,absence,NA,NA,NA,N,NA,NA
WNC,2,2013-07-23T00:00:00Z,N,Intermediate,Wet_Meadow,NA,Calamagrostis_canadensis,cuttings,NA,NA,NA,N,NA,NA
WNC,3,2013-06-28T00:00:00Z,N,Tall,Riparian,Calamogrostis_canadensis,NA,absence,NA,NA,NA,N,NA,Very_old_beaver_cuts_(10_yrs+)
WNC,4,2013-06-28T00:00:00Z,N,Tall,Wet_Meadow,Phleum_pratense,Thermopsis,absence,NA,NA,NA,N,NA,Elk_carcass_10m_from_plot._Moose_tracks_in_plot.
WNC,5,2013-07-01T00:00:00Z,N,Tall,Wet_Meadow,Calamagrostis_canadensis,Carex_elynoides,absence,NA,NA,4,N,NA,"Pins_marked_A,_B,_C,_D_Instead_of_N,_E,_S,_W"
WNC,6,2013-07-01T00:00:00Z,N,Tall,Riparian,Calamagrostis_canadensis,NA,absence,NA,NA,NA,N,NA,"Pins_marked_A,_B,_C,_D_Instead_of_N,_E,_S,_W"
WNC,7,2013-06-28T00:00:00Z,N,Tall,Wet_Meadow,Poaceae_sp._,Carex_sp.,absence,445197,4472331,5.4,N,NA,"All_pins_need_new_rebar,_Pins_marked_A,_B,_C,_D_Instead_of_N,_E,_S,_W"
WNC,8,2013-07-09T00:00:00Z,N,Tall,Marsh,Carex_aquatilis,Calmagrostis_canadensis,absence,NA,NA,NA,N,NA,"South_pin_is_pretty_buried_in_large_Plantifolia,_photo_of_S_to_N_is_off_by_a_meter,_Duck_nest_@_base_of_nearby_spruce"
WNC,9,2013-06-28T00:00:00Z,N,short_young,Riparian,Carex_aquatilis,NA,absence,445497,4472323,12,N,NA,All_rebar_has_been_replaced
WNC,10,2013-06-28T00:00:00Z,N,short_young,Riparian,Carex_aquatilis,NA,absence,445621,4472301,9.3000000000000007,N,NA,"UTMs_in_GPS_are_wrong___they_lead_to_side_of_stream._Rebar_replaced_on_N_&_E_pins,_W_&_S_still_have_very_short_rebar."
WNC,11,2013-06-11T00:00:00Z,N,Intermediate,Riparian,Poacea_sp._,Juncus_nevadincis,absence,NA,NA,NA,N,NA,Utilize_more_accurate_Grass_dichatamus_key
WNC,12,2013-07-02T00:00:00Z,N,Tall,Wet_Meadow,Juncus_Balticus,NA,dam/lodge,NA,NA,NA,N,NA,Dam_located_100m_away.Requires_longer_rebar_on_all_pins.
WNC,13,2013-07-02T00:00:00Z,N,Tall,Riparian,Carex_aquatilis,NA,dam/lodge,NA,NA,NA,N,NA,Additional_beaver_sign:_food_cache._Cuttings.
WNC,14,2013-07-02T00:00:00Z,N,Tall,Wet_Meadow,Calamagrostis_canadensis,Fendler_meadowrue,NA,NA,NA,NA,N,NA,NA
WNC,15,2013-07-01T00:00:00Z,N,short_old,Dry_Meadow,Poa_pratensis,Antennaria_parvifolia,dam/lodge,NA,NA,NA,N,NA,NA
WNC,16,2013-07-02T00:00:00Z,N,Intermediate,Riparian,Carex_aquatilis,NA,dam/lodge,NA,NA,NA,N,NA,Additional_beaver_sign:_cuttings
WNC,17,2013-06-28T00:00:00Z,N,No_Willow,Riparian,Juncus_sp.,NA,absence,444418,4471722,8.4,N,NA,"River_50m_away,_only_N_pin_found,_took_bearings_and_measured_out_remaining_3_corners,_the_only_shrubs_(ROWO)_were_WELL_within_this_square"
WNC,18,2013-06-28T00:00:00Z,N,Tall,Riparian,Bromus_inermis,Poacea_sp.,NA,444645,4471885,8.5,N,NA,"_S_pin_is_6''_from_river_bank,_E_pin_is_quite_buried_in_the_bush,_look_next_year_to_the_samll_(1m)_spruce"
WNC,19,2013-07-09T00:00:00Z,N,Intermediate,Wet_Meadow,Calamogrostis_canadensis,Carex_aquatilis,absence,NA,NA,NA,N,NA,W_cap_is_missing(but_not_rebar)
WNC,20,2013-07-09T00:00:00Z,N,No_Willow,Dry_Meadow,Bromus_inermus,Poa_pratensis,absence,NA,NA,NA,N,NA,NA
WNC,21,2013-08-13T00:00:00Z,N,Tall,Wet_Meadow,Calamogrostis_canadensis,NA,absence,445148,4472376,NA,N,NA,NA
WNC,22,2013-07-09T00:00:00Z,N,Tall,Wet_Meadow,Calamogrostis_canadensis,heracleum_sphondylium,absence,NA,NA,NA,N,NA,Moose_poop!
WNC,23,2013-07-09T00:00:00Z,N,short_young,Riparian,Carex_lumosa,Carex_aquatilis,dam/lodge,NA,NA,NA,N,NA,cuttings_and_food_cache_also!
WNC,24,2013-07-23T00:00:00Z,N,Tall,Riparian,Calamogrostis_canadensis,NA,absence,NA,NA,NA,N,NA,NA
WNC,25,2013-07-23T00:00:00Z,N,Tall,Riparian,Calamagrostis_canadensis,Heracleum_sphondillium,cuttings,NA,NA,NA,N,NA,30m_to_road
WNC,26,2013-07-23T00:00:00Z,N,Intermediate,Riparian,Bromus_Inermis,NA,absence,NA,NA,NA,N,NA,Missing_W_pin
WNC,27,2013-07-02T00:00:00Z,N,NA,Riparian,Paintbrush,Phleum_pratense,NA,NA,NA,NA,N,NA,Additional_Ecosystem_type:_Wet_Meadow._
WNC,28,2013-07-28T00:00:00Z,N,NA,Riparian,Carex_lumosa,Juncus_arcticus,dam/lodge,NA,NA,14,N,NA,"Additional_beaver_sign:_cuttings,_animal_sighting,_lodge_IS_active/_Fixed_pin_locations_to_be_4_m^2_plot"
WNC,29,2013-07-23T00:00:00Z,N,Intermediate,Riparian,Bromus_Inormous,NA,absence,NA,NA,NA,N,NA,1m_from_roadside
WNC,30,2013-07-23T00:00:00Z,N,Intermediate,Riparian,Carex_sp.,Calamagrostis_canadensis,absence,NA,NA,NA,N,NA,"Near_spruce_tree,_15m_from_roadside"
WNC,31,2013-07-09T00:00:00Z,N,Tall,Wet_Meadow,Carex_lumosa,Calamagrostis_canadensis,absence,NA,NA,NA,N,NA,Requires_replacement_of_6''_rebar
WNC,32,2013-07-23T00:00:00Z,N,Tall,Wet_Meadow,Poacea_sp._,Butter_+_Eggs,NA,NA,NA,NA,N,NA,Additional_ecosystem_type:_Dry_Meadow
WNC,33,2013-07-23T00:00:00Z,N,Tall,Riparian,Fragis_virginiana,NA,cuttings,NA,NA,NA,N,NA,NA
WNC,35,2013-07-23T00:00:00Z,N,short_old,Riparian,Carex_utriculata,NA,absence,NA,NA,NA,N,NA,"Heavy_growth_sire,_nearly_unnavigatable,_Heavy_species_hybridization"
