SITE_TYPE,SITE_NUMBER,SITE_ID,FENCED,LOCATION,DATE,DOMINANT_WILLOW_TYPE,ECOSYSTEM_TYPE,PREDOMINANT_HERB_SPECIES_1,PREDOMINANT_HERB_SPECIES_2,BEAVER_PRESENCE,CORNER_POINT,UTM_E_NAD83,UTM_N_NAD83,GPS_ACCURACY_M,SLOPE_PERCENT,ASPECT,ELEVATION_M,COMMENTS,BURNED,BURN_YEAR
WC,13,WC13,NA,NA,NA,NA,NA,NA,NA,NA,W,445221,4473621,NA,NA,NA,NA,NA,NA,NA
WC,14,WC14,N,Alluvial_Fan,2008-10-21T00:00:00Z,short_young,wet_meadow,Juncus,Carex,scat,Center,446298,4473323,6,NA,NA,2615,NA,NA,NA
WC,14,WC14,NA,NA,NA,NA,NA,NA,NA,NA,N,446299,4473324,NA,NA,NA,NA,NA,NA,NA
WC,14,WC14,NA,NA,NA,NA,NA,NA,NA,NA,E,446299,4473319,NA,NA,NA,NA,NA,NA,NA
WC,14,WC14,NA,NA,NA,NA,NA,NA,NA,NA,S,446299,4473316,NA,NA,NA,NA,NA,NA,NA
WC,14,WC14,NA,NA,NA,NA,NA,NA,NA,NA,W,446295,4473319,NA,NA,NA,NA,NA,NA,NA
WC,15,WC15,N,Endovalley,2008-10-20T00:00:00Z,intermediate,riparian,Grass,NA,None,Center,445039,4473530,6,0,F,2608,NA,NA,NA
WC,15,WC15,NA,NA,NA,NA,NA,NA,NA,NA,N,445046,4473539,NA,NA,NA,NA,NA,NA,NA
WC,15,WC15,NA,NA,NA,NA,NA,NA,NA,NA,E,445043,4473535,NA,NA,NA,NA,NA,NA,NA
WC,15,WC15,NA,NA,NA,NA,NA,NA,NA,NA,S,445044,4473531,NA,NA,NA,NA,NA,NA,NA
WC,15,WC15,NA,NA,NA,NA,NA,NA,NA,NA,W,445041,4473535,NA,NA,NA,NA,NA,NA,NA
WC,16,WC16,Y,Horseshoe_Park,2008-10-16T00:00:00Z,short_young,marsh_riparian,Carex,NA,None,Center,447178,4472426,4,0,F,NA,NA,NA,NA
WC,16,WC16,NA,NA,NA,NA,NA,NA,NA,NA,N,447181,4472430,NA,NA,NA,NA,NA,NA,NA
WC,16,WC16,NA,NA,NA,NA,NA,NA,NA,NA,E,447183,4472429,NA,NA,NA,NA,NA,NA,NA
WC,16,WC16,NA,NA,NA,NA,NA,NA,NA,NA,S,447183,4472427,NA,NA,NA,NA,NA,NA,NA
WC,16,WC16,NA,NA,NA,NA,NA,NA,NA,NA,W,447174,4472424,NA,NA,NA,NA,NA,NA,NA
WC,17,WC17,N,Endovalley,2008-10-21T00:00:00Z,short_young,riparian,Grass,NA,scat,Center,444616,4473841,5,0,F,2610,after_leaf_drop,NA,NA
WC,17,WC17,NA,NA,NA,NA,NA,NA,NA,NA,N,444615,4473842,NA,NA,NA,NA,NA,NA,NA
WC,17,WC17,NA,NA,NA,NA,NA,NA,NA,NA,E,444616,4473838,NA,NA,NA,NA,NA,NA,NA
WC,17,WC17,NA,NA,NA,NA,NA,NA,NA,NA,S,444613,4473836,NA,NA,NA,NA,NA,NA,NA
WC,17,WC17,NA,NA,NA,NA,NA,NA,NA,NA,W,444609,4473838,NA,NA,NA,NA,NA,NA,NA
WC,18,WC18,N,Alluvial_Fan,2008-10-21T00:00:00Z,short_young,wet_meadow,Carex_utriculata,NA,tracks/scat,Center,446341,4473194,6,NA,NA,NA,"after_leaf_drop,_very_wet_meadow,_may_be_covered_by_water_in_spring",NA,NA
WC,18,WC18,NA,NA,NA,NA,NA,NA,NA,NA,N,446339,4473193,NA,NA,NA,NA,after_leaf_drop,NA,NA
WC,18,WC18,NA,NA,NA,NA,NA,NA,NA,NA,E,446340,4473191,NA,NA,NA,NA,NA,NA,NA
WC,18,WC18,NA,NA,NA,NA,NA,NA,NA,NA,S,446341,4473189,NA,NA,NA,NA,NA,NA,NA
WC,18,WC18,NA,NA,NA,NA,NA,NA,NA,NA,W,446336,4473191,NA,NA,NA,NA,NA,NA,NA
WC,19,WC19,N,Lawn_Lake_Trailhead,2008-10-21T00:00:00Z,tall,riparian,Grass,NA,None,Center,446916,4472934,6,NA,NA,2599,NA,NA,NA
WC,19,WC19,NA,NA,NA,NA,NA,NA,NA,NA,N,446920,4472940,NA,NA,NA,NA,NA,NA,NA
WC,19,WC19,NA,NA,NA,NA,NA,NA,NA,NA,E,446912,4472935,NA,NA,NA,NA,NA,NA,NA
WC,19,WC19,NA,NA,NA,NA,NA,NA,NA,NA,S,446915,4472933,NA,NA,NA,NA,NA,NA,NA
WC,19,WC19,NA,NA,NA,NA,NA,NA,NA,NA,W,446929,4472939,NA,NA,NA,NA,NA,NA,NA
WC,20,WC20,N,Sheep_Lake/Horseshoe_Park,2008-10-22T00:00:00Z,intermediate,riparian,Carex,Polypogon,None,Center,447511,4472353,5,0,F,2606,NA,NA,NA
WC,20,WC20,NA,NA,NA,NA,NA,NA,NA,NA,N,447511,4472355,NA,NA,NA,NA,NA,NA,NA
WC,20,WC20,NA,NA,NA,NA,NA,NA,NA,NA,E,447514,4472356,NA,NA,NA,NA,NA,NA,NA
WC,20,WC20,NA,NA,NA,NA,NA,NA,NA,NA,S,447511,4472353,NA,NA,NA,NA,NA,NA,NA
WC,20,WC20,NA,NA,NA,NA,NA,NA,NA,NA,W,447506,4472357,NA,NA,NA,NA,NA,NA,NA
WC,21,WC21,N,Sheep_Lake_parking,2008-10-22T00:00:00Z,intermediate,riparian,Grass,NA,None,Center,447625,4472388,5,2,NA,2600,"one_tall_willow_on_W_sied,_drainage_in_middle,_will_be_under_water_in_spring",NA,NA
WC,21,WC21,NA,NA,NA,NA,NA,NA,NA,NA,N,447621,4472380,NA,NA,NA,NA,NA,NA,NA
WC,21,WC21,NA,NA,NA,NA,NA,NA,NA,NA,E,447625,4472378,NA,NA,NA,NA,NA,NA,NA
WC,21,WC21,NA,NA,NA,NA,NA,NA,NA,NA,S,447622,4472374,NA,NA,NA,NA,NA,NA,NA
WC,21,WC21,NA,NA,NA,NA,NA,NA,NA,NA,W,447621,4472377,NA,NA,NA,NA,NA,NA,NA
WC,22,WC22,N,Horseshoe_Park,2008-10-22T00:00:00Z,tall,riparian,Carex,NA,None,Center,446983,4472336,5,0,F,2629,NA,NA,NA
WC,22,WC22,NA,NA,NA,NA,NA,NA,NA,NA,N,446981,4472337,NA,NA,NA,NA,NA,NA,NA
WC,22,WC22,NA,NA,NA,NA,NA,NA,NA,NA,E,446984,4472333,NA,NA,NA,NA,NA,NA,NA
WC,22,WC22,NA,NA,NA,NA,NA,NA,NA,NA,S,446981,4472331,NA,NA,NA,NA,NA,NA,NA
WC,22,WC22,NA,NA,NA,NA,NA,NA,NA,NA,W,446977,4472334,NA,NA,NA,NA,NA,NA,NA
WC,23,WC23,N,Horseshoe_Park,2008-10-23T00:00:00Z,short_old,wet_meadow,Grass,NA,NA,Center,448494,4472429,5,0,F,2606,NA,NA,NA
WC,23,WC23,NA,NA,NA,NA,NA,NA,NA,NA,N,448492,4472440,NA,NA,NA,NA,NA,NA,NA
WC,23,WC23,NA,NA,NA,NA,NA,NA,NA,NA,E,448498,4472432,NA,NA,NA,NA,NA,NA,NA
WC,23,WC23,NA,NA,NA,NA,NA,NA,NA,NA,S,448496,4472425,NA,NA,NA,NA,NA,NA,NA
WC,23,WC23,NA,NA,NA,NA,NA,NA,NA,NA,W,448492,4472432,NA,NA,NA,NA,NA,NA,NA
WC,24,WC24,Y,Moraine_Park,2008-10-23T00:00:00Z,short_young,wet_meadow,Grass,NA,tracks/scat,Center,448863,4467202,5,0,NA,2454,W_of_mound_inside_exclosure,Y,2012
WC,24,WC24,NA,NA,NA,NA,NA,NA,NA,NA,N,448870,4467201,NA,NA,NA,NA,NA,NA,NA
WC,24,WC24,NA,NA,NA,NA,NA,NA,NA,NA,E,448873,4467203,NA,NA,NA,NA,NA,NA,NA
WC,24,WC24,NA,NA,NA,NA,NA,NA,NA,NA,S,448865,4467199,NA,NA,NA,NA,NA,NA,NA
WC,24,WC24,NA,NA,NA,NA,NA,NA,NA,NA,W,448859,4467197,NA,NA,NA,NA,NA,NA,NA
WC,25,WC25,Y,Moraine_Park,2008-10-23T00:00:00Z,none,wet_meadow,Grass,NA,None,Center,448774,4467206,6,0,NA,2455,W_of_mound_inside_exclosure,Y,2012
WC,25,WC25,NA,NA,NA,NA,NA,NA,NA,NA,N,448776,4467208,NA,NA,NA,NA,no_visible_willow,NA,NA
WC,25,WC25,NA,NA,NA,NA,NA,NA,NA,NA,E,448776,4467207,NA,NA,NA,NA,NA,NA,NA
WC,25,WC25,NA,NA,NA,NA,NA,NA,NA,NA,S,448775,4467203,NA,NA,NA,NA,NA,NA,NA
WC,25,WC25,NA,NA,NA,NA,NA,NA,NA,NA,W,448771,4467204,NA,NA,NA,NA,NA,NA,NA
WC,26,WC26,Y,Moraine_Park,2008-10-23T00:00:00Z,short_young,dry_meadow,Grass,NA,None,Center,448602,4467120,NA,0,F,2458,NA,Y,2012
WC,26,WC26,NA,NA,NA,NA,NA,NA,NA,NA,N,448608,4467124,NA,NA,NA,NA,NA,NA,NA
WC,26,WC26,NA,NA,NA,NA,NA,NA,NA,NA,E,448604,4467120,NA,NA,NA,NA,NA,NA,NA
WC,26,WC26,NA,NA,NA,NA,NA,NA,NA,NA,S,448602,4467118,NA,NA,NA,NA,NA,NA,NA
WC,26,WC26,NA,NA,NA,NA,NA,NA,NA,NA,W,448599,4467121,NA,NA,NA,NA,NA,NA,NA
WC,27,WC27,Y,Moraine_Park,2008-10-27T00:00:00Z,none,wet_meadow,Grass,NA,None,Center,448426,4467240,6,0,F,2459,NA,Y,2012
WC,27,WC27,NA,NA,NA,NA,NA,NA,NA,NA,N,448426,4467247,NA,NA,NA,NA,NA,NA,NA
WC,27,WC27,NA,NA,NA,NA,NA,NA,NA,NA,E,448428,4467244,NA,NA,NA,NA,NA,NA,NA
WC,27,WC27,NA,NA,NA,NA,NA,NA,NA,NA,S,448425,4467244,NA,NA,NA,NA,NA,NA,NA
WC,27,WC27,NA,NA,NA,NA,NA,NA,NA,NA,W,448425,4467243,NA,NA,NA,NA,NA,NA,NA
WC,28,WC28,Y,Moraine_Park,2008-10-27T00:00:00Z,short_young,wet_meadow,Grass,NA,None,Center,448536,4467210,4,0,F,NA,NA,Y,2012
WC,28,WC28,NA,NA,NA,NA,NA,NA,NA,NA,N,448536,4467210,NA,NA,NA,NA,NA,NA,NA
WC,28,WC28,NA,NA,NA,NA,NA,NA,NA,NA,E,448537,4467212,NA,NA,NA,NA,NA,NA,NA
WC,28,WC28,NA,NA,NA,NA,NA,NA,NA,NA,S,448536,4467209,NA,NA,NA,NA,NA,NA,NA
WC,28,WC28,NA,NA,NA,NA,NA,NA,NA,NA,W,448533,4467208,NA,NA,NA,NA,NA,NA,NA
WC,29,WC29,Y,Moraine_Park_Livery,2008-10-27T00:00:00Z,tall_dead,dry_meadow,Grass,NA,None,Center,447981,4467467,5,0,F,2467,NA,Y,2012
WC,29,WC29,NA,NA,NA,NA,NA,NA,NA,NA,N,447980,4467470,NA,NA,NA,NA,NA,NA,NA
WC,29,WC29,NA,NA,NA,NA,NA,NA,NA,NA,E,447982,4467467,NA,NA,NA,NA,NA,NA,NA
WC,29,WC29,NA,NA,NA,NA,NA,NA,NA,NA,S,447980,4467463,NA,NA,NA,NA,NA,NA,NA
WC,29,WC29,NA,NA,NA,NA,NA,NA,NA,NA,W,447978,4467465,NA,NA,NA,NA,NA,NA,NA
WC,30,WC30,N,Moraine_Park/E_of_old_exclosure,2008-10-27T00:00:00Z,short_young,riparian,Grass,NA,None,Center,447528,4467446,5,NA,NA,2475,Gully_in_center_w/_10%_slope,Y,2012
WC,30,WC30,NA,NA,NA,NA,NA,NA,NA,NA,N,447528,4467446,NA,NA,NA,NA,NA,NA,NA
WC,30,WC30,NA,NA,NA,NA,NA,NA,NA,NA,E,447532,4467444,NA,NA,NA,NA,NA,NA,NA
WC,30,WC30,NA,NA,NA,NA,NA,NA,NA,NA,S,447527,4467442,NA,NA,NA,NA,NA,NA,NA
WC,30,WC30,NA,NA,NA,NA,NA,NA,NA,NA,W,447527,4467444,NA,NA,NA,NA,NA,NA,NA
WC,31,WC31,N,Moraine_Park,2008-10-28T00:00:00Z,intermediate,dry_meadow,NA,NA,tracks/scat,Center,448189,4467015,5,NA,NA,2462,NA,NA,NA
WC,31,WC31,NA,NA,NA,NA,NA,NA,NA,NA,N,448190,4467020,NA,NA,NA,NA,NA,NA,NA
WC,31,WC31,NA,NA,NA,NA,NA,NA,NA,NA,E,448187,4467014,NA,NA,NA,NA,NA,NA,NA
WC,31,WC31,NA,NA,NA,NA,NA,NA,NA,NA,S,448186,4467012,NA,NA,NA,NA,NA,NA,NA
WC,31,WC31,NA,NA,NA,NA,NA,NA,NA,NA,W,446185,4467018,NA,NA,NA,NA,NA,NA,NA
WC,32,WC32,N,Moraine_Park,2008-10-28T00:00:00Z,none,dry_meadow,NA,NA,scat,Center,447945,4467022,5,0,F,2467,sandy_w/_minimal_herbaceous,NA,NA
WC,32,WC32,NA,NA,NA,NA,NA,NA,NA,NA,N,447943,4467029,NA,NA,NA,NA,NA,NA,NA
WC,32,WC32,NA,NA,NA,NA,NA,NA,NA,NA,E,447946,4467026,NA,NA,NA,NA,NA,NA,NA
WC,32,WC32,NA,NA,NA,NA,NA,NA,NA,NA,S,447943,4467024,NA,NA,NA,NA,NA,NA,NA
WC,32,WC32,NA,NA,NA,NA,NA,NA,NA,NA,W,447938,4467027,NA,NA,NA,NA,NA,NA,NA
WC,33,WC33,N,Fern_Lake_Rd,2008-10-28T00:00:00Z,intermediate,riparian,Carex,NA,cuttings,Center,446868,4467304,6,0,F,2485,along_stream,NA,NA
WC,33,WC33,NA,NA,NA,NA,NA,NA,NA,NA,N,446870,4467304,NA,NA,NA,NA,NA,NA,NA
WC,33,WC33,NA,NA,NA,NA,NA,NA,NA,NA,E,446873,4467311,NA,NA,NA,NA,NA,NA,NA
WC,33,WC33,NA,NA,NA,NA,NA,NA,NA,NA,S,446870,4467301,NA,NA,NA,NA,NA,NA,NA
WC,33,WC33,NA,NA,NA,NA,NA,NA,NA,NA,W,446868,4467309,NA,NA,NA,NA,NA,NA,NA
WC,34,WC34,N,Moraine_Park,2008-10-28T00:00:00Z,short_young,riparian,Grass,NA,None,Center,449273,NA,13,0,F,2453,South_side_off_trailhead,Y,2012
WC,34,WC34,NA,NA,NA,NA,NA,NA,NA,NA,N,449263,4466821,NA,NA,NA,NA,NA,NA,NA
WC,34,WC34,NA,NA,NA,NA,NA,NA,NA,NA,E,449265,4466821,NA,NA,NA,NA,NA,NA,NA
WC,34,WC34,NA,NA,NA,NA,NA,NA,NA,NA,S,449265,4466814,NA,NA,NA,NA,NA,NA,NA
WC,34,WC34,NA,NA,NA,NA,NA,NA,NA,NA,W,449269,4466818,NA,NA,NA,NA,NA,NA,NA
WC,35,WC35,N,South_Moraine_Park,2008-11-04T00:00:00Z,none,wet_meadow,Grass,NA,tracks/scat,Center,448428,4466679,5,0,F,2459,"Kalee_Cabin_Rd,_w_of_exclosure",Y,2012
WC,35,WC35,NA,NA,NA,NA,NA,NA,NA,NA,N,448431,4466681,NA,NA,NA,NA,NA,NA,NA
WC,35,WC35,NA,NA,NA,NA,NA,NA,NA,NA,E,448432,4466679,NA,NA,NA,NA,NA,NA,NA
WC,35,WC35,NA,NA,NA,NA,NA,NA,NA,NA,S,448427,4466675,NA,NA,NA,NA,NA,NA,NA
WC,35,WC35,NA,NA,NA,NA,NA,NA,NA,NA,W,448428,4466678,NA,NA,NA,NA,NA,NA,NA
WC,36,WC36,Y,Upper_Beaver_Meadows,2008-11-06T00:00:00Z,none,wet_meadow,Carex,Grass,None,Center,448192,4469126,5,0,F,2560,"area_does_not_have_willow,_but_will_sustain_willow_in_future,_has_potential",NA,NA
WC,36,WC36,NA,NA,NA,NA,NA,NA,NA,NA,N,448189,4469128,NA,NA,NA,NA,NA,NA,NA
WC,36,WC36,NA,NA,NA,NA,NA,NA,NA,NA,E,448191,4469119,NA,NA,NA,NA,NA,NA,NA
WC,36,WC36,NA,NA,NA,NA,NA,NA,NA,NA,S,448194,4469117,NA,NA,NA,NA,NA,NA,NA
WC,36,WC36,NA,NA,NA,NA,NA,NA,NA,NA,W,448189,4469121,NA,NA,NA,NA,NA,NA,NA
WC,37,WC37,Y,South_Moraine_Park,2008-11-04T00:00:00Z,short_young,riparian,Grass,NA,None,Center,NA,NA,NA,NA,NA,NA,NA,Y,2012
WC,37,WC37,NA,NA,NA,NA,NA,NA,NA,NA,N,449532,4466818,NA,NA,NA,NA,NA,NA,NA
WC,37,WC37,NA,NA,NA,NA,NA,NA,NA,NA,E,449535,4466816,NA,NA,NA,NA,NA,NA,NA
WC,37,WC37,NA,NA,NA,NA,NA,NA,NA,NA,S,449534,4466810,NA,NA,NA,NA,NA,NA,NA
WC,37,WC37,NA,NA,NA,NA,NA,NA,NA,NA,W,449535,4466810,NA,NA,NA,NA,NA,NA,NA
WC,38,WC38,Y,South_Moraine_Park,2008-11-05T00:00:00Z,short_young,dry_meadow,Grass,NA,scat,Center,449903,4466873,5,0,F,2451,near_water_hut,Y,2012
WC,38,WC38,NA,NA,NA,NA,NA,NA,NA,NA,N,449902,4466875,NA,NA,NA,NA,NA,NA,NA
WC,38,WC38,NA,NA,NA,NA,NA,NA,NA,NA,E,449905,4466874,NA,NA,NA,NA,NA,NA,NA
WC,38,WC38,NA,NA,NA,NA,NA,NA,NA,NA,S,449902,4466873,NA,NA,NA,NA,NA,NA,NA
WC,38,WC38,NA,NA,NA,NA,NA,NA,NA,NA,W,449901,4466873,NA,NA,NA,NA,NA,NA,NA
WC,39,WC39,N,Moraine_Park,2008-11-05T00:00:00Z,intermediate_short_old,riparian,Grass,NA,None,Center,450404,4467178,5,0,F,2447,east_of_bridge,NA,NA
WC,39,WC39,NA,NA,NA,NA,NA,NA,NA,NA,N,450402,4467182,NA,NA,NA,NA,NA,NA,NA
WC,39,WC39,NA,NA,NA,NA,NA,NA,NA,NA,E,450408,4467179,NA,NA,NA,NA,NA,NA,NA
WC,39,WC39,NA,NA,NA,NA,NA,NA,NA,NA,S,450403,4467177,NA,NA,NA,NA,NA,NA,NA
WC,39,WC39,NA,NA,NA,NA,NA,NA,NA,NA,W,450401,4467182,NA,NA,NA,NA,NA,NA,NA
