SITE_TYPE,SITE_NUMBER,SITE_ID,LOCATION,DATE,FENCED,DOMINANT_WILLOW_TYPE,ECOSYSTEM_TYPE,PREDOMINANT_HERB_SPECIES_1,PREDOMINANT_HERB_SPECIES_2,BEAVER_PRESENCE,MOOSE_PRESENCE,UTM_E_NAD83,UTM_N_NAD83,GPS_ACCURACY_M,BURNED,BURN_YEAR,BURN_SEVERITY,COMMENTS
WC,48,WC48,Horseshoe_Park,2018-06-20T00:00:00Z,N,Intermediate,Riparian_,Thermopsis_divaricarpa,Poa_spp.,Absence_,Browse,447441,4472271,NA,N,NA,NA,All_pins_present._S_pin_is_less_than_2_ft_from_cut_bank_watch_for_future_erosion_and_loss_of_pin.
WC,49,WC49,Upper_Beaver_Meadows,2018-06-26T00:00:00Z,Y,Tall,Wet_Meadow,Carex_spp.,NA,Absence_,Absence_,449268,4468988,3,N,NA,NA,All_pins_present._Pins_on_short_rebar_S_pin_in_large_SAMO_and_N_pin_in_wet_depression_in_SAMO
WC,50,WC50,Upper_Beaver_Meadows,2018-06-26T00:00:00Z,Y,Tall,Wet_Meadow,Carex_spp.,NA,Absence_,Absence_,449252,4468991,3,N,NA,NA,All_pins_present_but_buried_under_deep_sedges._N_pin_at_base_of_dead_branches
WC,51,WC51,Upper_Beaver_Meadows,2018-06-26T00:00:00Z,N,Short_old,Dry_Meadow_,Juncus_spp.,Carex_spp.,Absence_,Absence_,449851,4468688,3,N,NA,NA,All_pins_present_and_flush_with_ground.
WC,52,WC52,Moraine_Park,2018-06-28T00:00:00Z,N,Short_young,Dry_Meadow_,Bromus_spp.,NA,Absence_,Browse,447144,4467375,NA,Y,2012,Completely,All_pins_present.
WC,53,WC53,Moraine_Park,2018-07-05T00:00:00Z,Y,Intermediate,Wet_Meadow,Carex_spp.,Agrostis_spp.,Absence_,Browse,448084,4467338,4,Y,2012,Completely,All_pins_present._Accessed_plot_from_the_north_and_crossed_river_which_was_a_little_high._Also_appeared_to_be_moose_browse_but_unsure_because_this_area_is_fenced.
WC,54,WC54,Moraine_Park,2018-07-03T00:00:00Z,N,No_willow,Wet_Meadow,Carex_spp.,Bromus_inermis,Absence_,Absence_,447107,4466862,2,Y,2012,Completely,All_pins_present._N_pin_covered_by_grass_others_sticking_up_and_out_of_ground
WC,55,WC55,Moraine_Park,2018-07-03T00:00:00Z,N,Short_old,Dry_Meadow_,Thermopsis_divaricarpa,NA,Absence_,Absence_,448615,4466623,3,Y,2012,Moderately_to_Completely,All_pins_present.
WC,56,WC56,Moraine_Park,2018-07-05T00:00:00Z,N,Short_old,Dry_Meadow_,Poa_spp.,NA,Absence_,Browse_tracks,448928,4466765,3,Y,2012,Completely,All_pins_present.
WC,57,WC57,Moraine_Park,2018-07-06T00:00:00Z,N,Short_young,Wet_Meadow,Carex_spp.,Poa_spp.,Absence_,Browse,450025,4467191,3,Y,2012,Moderately_to_Completely,All_pins_present._Accessed_plot_from_the_north_but_river_was_a_little_high.
WC,58,WC58,Upper_Beaver_Meadows,2018-06-26T00:00:00Z,N,No_willow,Wet_Meadow,Carex_spp.,Equisetum_spp.,Absence_,Absence_,448810,4469506,3,N,NA,NA,All_pins_present._Plot_located_20_ft_north_of_exclosure._N_pin_was_buried_under_a_lot_of_dead_willow_branches_near_largest_willow_in_area._
WC,59,WC59,Upper_Beaver_Meadows,2018-06-26T00:00:00Z,N,No_willow,Dry_Meadow_,Bromus_spp.,Juncus_spp.,Absence_,Browse,449061,4469019,NA,N,NA,NA,All_pins_present.
WC,60,WC60,Upper_Beaver_Meadows,2018-06-26T00:00:00Z,N,Short_old,Dry_Meadow_,Bromus_inermis,NA,Absence_,Browse,449455,4468802,NA,N,NA,NA,All_pins_present.
WC,61,WC61,Upper_Beaver_Meadows,2018-06-26T00:00:00Z,N,Short_young,Riparian_,Bromus_inermis,NA,Absence_,Browse,449468,4468824,1,N,NA,NA,All_pins_present.
WC,62,WC62,Moraine_Park,2018-07-06T00:00:00Z,N,Tall,Wet_Meadow,Bromus_inermis,NA,Absence_,Browse_tracks,450534,4467135,NA,N,NA,Not_burned,All_pins_present.
WC,63,WC63,Upper_Beaver_Meadows,2018-06-26T00:00:00Z,N,No_willow,Wet_Meadow,Bromus_inermis,NA,Absence_,Browse,449023,4469066,2,N,NA,NA,All_pins_present._Plot_next_to_stream_S_pin_about_2ft_from_stream_edge._Found_repar_with_no_cap_about_6_inches_east_of_N_pin.
WC,64,WC64,Moraine_Park,2018-07-10T00:00:00Z,Y,Intermediate,Wet_Meadow,Calamagrostis_spp.,NA,Absence_,Absence_,450543,4467021,3,N,NA,Not_burned,All_pins_present.
WC,65,WC65,Moraine_Park,2018-07-10T00:00:00Z,Y,Short_young,Dry_Meadow_,Angelica_grayi,NA,Cuttings,Browse,450579,4467004,4,N,NA,Not_burned,All_pins_present_sticking_out_of_ground_3_inches
WC,66,WC66,Moraine_Park,2018-07-10T00:00:00Z,Y,No_willow,Dry_Meadow_,Bromus_inermis,NA,Absence_,Absence_,450525,4467031,2,N,NA,Not_burned,All_pins_present.
WC,67,WC67,Moraine_Park,2018-07-10T00:00:00Z,Y,Intermediate,Dry_Meadow_,Bromus_inermis,Carex_spp.,Absence_,Absence_,450497,4467074,2,N,NA,Not_burned,All_pins_present.
WC,68,WC68,Moraine_Park,2018-07-10T00:00:00Z,N,Short_young,Riparian_,Bromus_inermis,NA,Absence_,Browse,450697,4466939,4,N,NA,Not_burned,All_pins_present._Plot_next_to_river_with_fallen_PIPO_in_the_middle._ALIN_in_the_E_corner_is_taller_than_the_height_pole_so_we_estimated_height_and_bud_scar.
WC,69,WC69,Moraine_Park,2018-07-10T00:00:00Z,N,Intermediate,Wet_Meadow,Carex_spp.,NA,Absence_,Browse,450619,4466993,3,N,NA,Not_burned,All_pins_present.
WC,70,WC70,Moraine_Park,2018-07-10T00:00:00Z,N,Tall,Wet_Meadow,Bromus_inermis,NA,Absence_,Browse,450709,4466958,4,N,NA,Not_burned,All_pins_present.
WC,71,WC71,Moraine_Park,2018-07-06T00:00:00Z,N,Tall,Riparian_,Carex_spp.,Poa_spp.,Absence_,Browse,450429,4467182,NA,N,NA,Not_burned,All_pins_present.
WC,72,WC72,Moraine_Park,2018-07-06T00:00:00Z,N,Tall,Dry_Meadow_,Bromus_inermis,NA,Cuttings,Browse,450619,4467021,4,N,NA,Not_burned,All_pins_present._Beaver_cuttings_are_new_and_close_to_the_E_pin!
WC,73,WC73,Endovalley,2018-06-15T00:00:00Z,Y_but_fence_down_since_2013,Short_old,Dry_Meadow_,Bromus_spp.,NA,Absence_,Browse,445413,4473308,NA,N,NA,NA,All_pins_present._Plot_in_exclosure_HP_60_but_fence_has_been_partially_down_since_2013
WC,74,WC74,Moraine_Park,2018-07-10T00:00:00Z,N,Intermediate,Wet_Meadow,Phleum_pratense,NA,Absence_,Browse,450681,4466964,3,N,NA,Not_burned,All_pins_present._Plot_on_river_side_of_large_fallen_log_boulder_in_middle_of_plot.
WC,75,WC75,Upper_Beaver_Meadows,2018-06-26T00:00:00Z,Y,Intermediate,Wet_Meadow,Bromus_spp.,Angelica_grayi,Absence_,Absence_,448689,4469078,3,N,NA,NA,All_pins_present._Plot_is_located_on_the_WEST_SIDE_of_the_creek_running_through_the_exclosure._All_pins_present_but_tough_to_locate_due_to_a_lot_of_dead_grass_build_up._South_pin_is_located_2_ft_from_the_creek_under_a_SAMO_and_2_ft_from_very_large_alder_growing_out_of_the_creek_
WC,76,WC76,Moraine_Park,2018-06-28T00:00:00Z,Y,Intermediate,Dry_Meadow_,Bromus_spp.,NA,Absence_,Absence_,447415,4467454,3,Y,2012,Completely,All_pins_present.
WC,77,WC77,Moraine_Park,2018-06-29T00:00:00Z,N,Intermediate,Dry_Meadow_,Phleum_pratense,Thermopsis_divaricarpa,Absence_,Absence_,447355,4467542,6,Y,2012,Moderately_to_Completely,All_pins_present_1_3_inches_above_ground.
WC,78,WC78,Moraine_Park,2018-06-28T00:00:00Z,Y,Intermediate,Dry_Meadow_,NA,NA,Absence_,Absence_,447302,4467535,1,Y,2012,Moderately_to_Completely,All_pins_present.
WC,79,WC79,Moraine_Park,2018-07-03T00:00:00Z,Y,Short_young,Dry_Meadow_,Bromus_inermis,NA,Absence_,Browse,447490,4467370,2,Y,2012,Completely,All_pins_present_1_2_inches_out_of_ground._S_pin_hidden_in_middle_of_LOIN.
WC,80,WC80,Moraine_Park,2018-06-29T00:00:00Z,N,No_willow,Wet_Meadow,Bromus_inermis,NA,Absence_,Absence_,447471,4467342,5,Y,2012,Completely,All_pins_present_flush_with_ground.
WC,81,WC81,Moraine_Park,2018-06-28T00:00:00Z,N,No_willow,Dry_Meadow_,Poa_pratensis,Phleum_pratense,Absence_,Tracks,447283,4467438,3,Y,2012,Completely,All_pins_present.
WC,82,WC82,Moraine_Park,2018-06-28T00:00:00Z,N,Short_old,Dry_Meadow_,Poa_pratensis,NA,Absence_,Tracks,447062,4467386,NA,Y,2012,Completely,All_pins_present.
WC,83,WC83,Moraine_Park,2018-06-28T00:00:00Z,N,No_willow,Dry_Meadow_,Poa_pratensis,Bromus_inermis,Absence_,Absence_,446781,4467347,NA,Y,2012,Completely,All_pins_present.
WC,84,WC84,Moraine_Park,2018-07-05T00:00:00Z,N,Short_old,Dry_Meadow_,Bromus_inermis,Juncus_arcticus,Absence_,Browse_tracks,447740,4467281,NA,Y,2012,Completely,All_pins_present.
WC,85,WC85,Moraine_Park,2018-06-28T00:00:00Z,Y,Intermediate,Dry_Meadow_,Carex_spp.,Phleum_pratense,Absence_,Absence_,447255,4467515,3,Y,2012,Moderately_to_Completely,All_pins_present.
WC,86,WC86,Moraine_Park,2018-07-06T00:00:00Z,Y,Intermediate,Dry_Meadow_,Poa_spp.,NA,Absence_,Absence_,449602,4466842,2,Y,2012,Moderately_to_Completely,All_pins_present._N_pin_is_about_10ft_from_a_stream
WK_,1,WK_1,Holzwarth,2018-07-18T00:00:00Z,Y,Short_young,Wet_Meadow,Carex_spp.,Solidago_spp.,Absence_,Scat_beds_,427118,4469782,3,N,NA,NA,All_pins_present._Moose_getting_inside_fence_through_river.
WK_,2,WK_2,Holzwarth,2018-07-18T00:00:00Z,Y,Short_old,Wet_Meadow,Carex_spp.,NA,Absence_,Browse_scat_tracks,427137,4469831,3,N,NA,NA,All_pins_present._Moose_getting_inside_fence_through_river.
WK_,4,WK_4,Green_Mountain_,2018-07-18T00:00:00Z,N,Short_old,Dry_Meadow_,Carex_spp.,NA,Absence_,Browse_scat_tracks,427405,4462244,2,N,NA,NA,All_pins_present.
WK_,5,WK_5,Holzwarth,2018-07-18T00:00:00Z,Y,Intermediate,Wet_Meadow,Carex_spp.,NA,Absence_,Browse,427148,4469921,2,N,NA,NA,All_pins_present._Moose_getting_inside_fence_through_river.
WK_,6,WK_6,North_Kawuneeche,2018-07-18T00:00:00Z,N,Short_old,Wet_Meadow,NA,NA,Absence_,Browse,427695,4470805,NA,N,NA,NA,All_pins_present.
WK_,7,WK_7,Betty_Dick_Road,2018-07-18T00:00:00Z,N,Short_old,Dry_Meadow_,Fragaria_spp.,Carex_spp.,Absence_,Browse,426372,4465775,3,N,NA,NA,All_pins_present._To_get_to_this_plot_walk_north_past_in_holding_along_foot_path_until_you_reach_the_old_two_track_road_follow_it_to_the_open_meadow_and_along_tree_line_of_next_forested_area_road_will_go_over_a_culvert._After_that_head_west_into_the_woods_and_the_plot_should_be_out_in_a_dry_meadow._Surrounded_by_wet_areas._Very_little_willow_
WK_,8,WK_8,Betty_Dick_Road,2018-07-18T00:00:00Z,N,Short_old,Dry_Meadow_,Agrostis_spp.,Carex_spp.,Absence_,Browse,426593,4465120,4,N,NA,NA,All_pins_present.
WK_,9,WK_9,Betty_Dick_Road,2018-07-20T00:00:00Z,N,Short_old,Wet_Meadow,Carex_spp.,Agrostis_spp.,Absence_,Browse,427104,4465281,2,N,NA,NA,All_pins_present._Newly_established_plot_in_2018_to_replace_WK3._Plot_located_about_10m_east_of_private_property_fence_line.
WK_,10,WK_10,Holzwarth,2018-09-27T00:00:00Z,Y,Short_young,Dry_Meadow_,Poa_spp.,Carex_spp.,Absence_,Browse,427251,4469724,3,N,NA,NA,All_pins_present._Newly_established_plot_in_2018___Linda_Z._recommended_we_have_one_more_west_side_plot_inside_the_fence
WNC,1,WNC1,McGraw_Ranch,2018-06-20T00:00:00Z,N,Tall,Wet_Meadow,Carex_spp.,Juncus_spp.,Absence_,Absence_,457031,4475714,5,N,NA,NA,All_pins_present.
WNC,2,WNC2,McGraw_Ranch,2018-06-21T00:00:00Z,N,Intermediate,Riparian_,Bromus_inermis,NA,Cuttings,Browse,457086,4475717,2,N,NA,NA,All_pins_present.
WNC,3,WNC3,Hollowell_Park,2018-07-13T00:00:00Z,N,Tall,Riparian_,Bromus_inermis,NA,Absence_,Browse,448811,4465825,3,N,NA,NA,All_pins_present.
WNC,4,WNC4,Hollowell_Park,2018-07-13T00:00:00Z,N,Tall,Dry_Meadow_,Bromus_inermis,NA,Absence_,Browse,448549,4465606,2,N,NA,NA,All_pins_present.
WNC,5,WNC5,Hollowell_Park,2018-07-12T00:00:00Z,N,Tall,Wet_Meadow,NA,NA,Absence_,Browse,448062,4465584,10,N,NA,NA,All_pins_present._Heights_and_bud_scars_estimated_much_taller_than_height_pole.
WNC,6,WNC6,Hollowell_Park,2018-07-11T00:00:00Z,N,Intermediate,Riparian_,Calamagrostis_spp.,Carex_spp.,Absence_,Browse,448096,4465437,3,N,NA,NA,All_pins_present.
WNC,7,WNC7,Hidden_Valley,2018-06-22T00:00:00Z,N,Short_old,Wet_Meadow,Bromus_inermis,NA,Absence_,Browse_scat_tracks,445193,4472329,NA,N,NA,NA,All_pins_present.
WNC,8,WNC8,Hidden_Valley,2018-06-22T00:00:00Z,N,Tall,Marsh,Carex_spp.,NA,Absence_,Browse_scat_tracks,445184,4472469,2,N,NA,NA,All_pins_present_sticking_out_of_ground_4_5_inches
WNC,9,WNC9,Hidden_Valley,2018-06-22T00:00:00Z,N,Short_young,Riparian_,Carex_aquatilis,NA,Absence_,Browse_scat,445504,4472319,4,N,NA,NA,All_pins_present.
WNC,10,WNC10,Hidden_Valley,2018-06-22T00:00:00Z,N,Short_young,Riparian_,Carex_aquatilis,NA,Absence_,Browse_scat,445619,4472301,NA,N,NA,NA,All_pins_present_North_and_east_under_water
WNC,11,WNC11,McGraw_Ranch,2018-06-21T00:00:00Z,N,Short_young,Dry_Meadow_,Bromus_inermis,NA,Absence_,Browse,458094,4475970,3,N,NA,NA,All_pins_present._Parked_at_pull_out_near_private_property._Plot_located_across_river
WNC,12,WNC12,McGraw_Ranch,2018-06-21T00:00:00Z,N,Intermediate,Dry_Meadow_,Juncus_arcticus,Solidago_spp.,Absence_,Scat,457360,4475700,3,N,NA,NA,All_pins_present.
WNC,13,WNC13,Hollowell_Park,2018-07-13T00:00:00Z,N,Intermediate,Wet_Meadow,Calamagrostis_spp.,Carex_spp.,Absence_,Browse,448223,4465547,3,N,NA,NA,All_pins_present._Bring_waders!_Plot_hard_to_find_pins_buried_from_dead_vegetation_very_wet_and_mucky_hard_to_get_through._Very_old_beaver_cuttings._Maybe_try_to_measure_before_spring_run_off_or_late_summer._
WNC,14,WNC14,Hollowell_Park,2018-07-13T00:00:00Z,N,Tall,Wet_Meadow,Calamagrostis_spp.,NA,Absence_,Browse_scat_tracks,448441,4465543,NA,N,NA,NA,All_pins_present.
WNC,15,WNC15,Hollowell_Park,2018-07-13T00:00:00Z,N,Short_young,Dry_Meadow_,Phleum_pratense,anntennaria_spp.,Absence_,Browse,448456,4465491,6,N,NA,NA,All_pins_present._Open_grassy_area_near_treeline_west_side_of_plot_has_some_downed_trees._North_side_along_stream_bank._North_pin_down_stream_side_a_little._
WNC,16,WNC16,Hollowell_Park,2018-07-13T00:00:00Z,N,Intermediate,Marsh,Carex_spp.,Calamagrostis_spp._,Absence_,Browse_scat_tracks_sighting,448250,4465526,3,N,NA,NA,All_pins_present._Bring_waders!_Plot_hard_to_access._Old_beaver_cuttings_in_area.
WNC,17,WNC17,Hidden_Valley,2018-06-22T00:00:00Z,N,No_willow,Wet_Meadow,Juncus_arcticus,Thermopsis_divaricarpa,Absence_,Browse,444418,4471717,4,N,NA,NA,All_pins_present._Plot_is_40_yds_from_parking_lot_on_the_north_side_of_river
WNC,18,WNC18,Hidden_Valley,2018-06-22T00:00:00Z,N,Short_young,Riparian_,Fragaria_spp.,Calamagrostis_spp._,Absence_,Browse_scat,444645,4471890,5,N,NA,NA,All_pins_present.
WNC,19,WNC19,Lower_Hidden_Valley,2018-06-27T00:00:00Z,N,Intermediate,Wet_Meadow,NA,NA,Absence_,Browse,446782,4471584,NA,N,NA,NA,All_pins_present.
WNC,20,WNC20,Lower_Hidden_Valley,2018-06-27T00:00:00Z,N,No_willow,Riparian_,Bromus_inermis,NA,Absence_,Absence_,446626,4471625,3,N,NA,NA,All_pins_present._N_W_and_E_pins_were_buried.
WNC,21,WNC21,Hidden_Valley,2018-06-23T00:00:00Z,N,Intermediate,Wet_Meadow,Bromus_spp.,Carex_spp.,Absence_,Browse_scat_tracks,445142,4472375,3,N,NA,NA,All_pins_present.
