SITE_TYPE,SITE_NUMBER,SITE_ID,LOCATION,DATE,FENCED,DOMINANT_WILLOW_TYPE,ECOSYSTEM_TYPE,PREDOMINANT_HERB_SPECIES_1,PREDOMINANT_HERB_SPECIES_2,BEAVER_PRESENCE,BURNED,BURN_YEAR,BURN_SEVERITY,COMMENTS
WC,80,WC80,Moraine_Park,2016-06-01T00:00:00Z,N,sapling,dry_meadow,Bromus_inermis,NA,none,Y,2012,Completely,NA
WC,81,WC81,Moraine_Park,2016-05-26T00:00:00Z,N,no_willow,dry_meadow,Bromus_inermis,NA,none,Y,2012,Completely,NA
WC,82,WC82,Moraine_Park,2016-05-26T00:00:00Z,N,short_old,dry_meadow,Bromus_inermis,Phleum_pratense,none,Y,2012,Completely,NA
WC,83,WC83,Moraine_Park,2016-05-26T00:00:00Z,N,short_old,riparian,Bromus_inermis,Poa_spp.,none,Y,2012,Completely,NA
WC,84,WC84,Moraine_Park,2016-05-24T00:00:00Z,N,short_old,riparian,Bromus_inermis,NA,none,Y,2012,Completely,NA
WC,85,WC85,Moraine_Park,2016-05-26T00:00:00Z,Y,intermediate,dry_meadow,Poa_spp.,Carex_spp.,none,Y,2012,Moderately_to_Completely,NA
WC,86,WC86,Moraine_Park,2016-05-26T00:00:00Z,Y,short_young,dry_meadow,Bromus_inermis,NA,none,Y,2012,Moderately_to_Completely,NA
WK,1,WK1,KV,2016-09-01T00:00:00Z,Y,short_old,wet_meadow,Carex_spp.,NA,none,NA,NA,NA,NA
WK,2,WK2,KV,2016-09-01T00:00:00Z,Y,short_old,wet_meadow,Carex_spp.,NA,none,NA,NA,NA,"All_pins_present,_CT_present"
WK,4,WK4,KV,2016-09-15T00:00:00Z,N,short_young,wet_meadow,Carex_spp.,NA,none,NA,NA,NA,All_pins_present
WK,5,WK5,KV,2016-09-01T00:00:00Z,Y,short_young,riparian,Carex_spp.,NA,none,NA,NA,NA,All_pins_present
WK,6,WK6,KV,2016-09-01T00:00:00Z,N,short_old,riparian,Bromus_inermis,NA,none,NA,NA,NA,All_pins_present
WK,7,WK7,KV,2016-09-01T00:00:00Z,N,short_old,dry_meadow,Carex_spp.,NA,none,NA,NA,NA,All_pins_present
WK,8,WK8,KV,2016-09-01T00:00:00Z,N,short_old,dry_meadow,Carex_spp.,NA,none,NA,NA,NA,All_pins_present
